Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
United States,USA,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.80342635197447
United States,USA,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.89152608425851
United States,USA,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.78920842643673
United States,USA,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.84591705168341
United States,USA,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.97334593688513
United States,USA,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.92034814761419
United States,USA,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.83913994808671
United States,USA,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.83813063537095
United States,USA,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.48388194532795
United States,USA,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.22553927299417
United States,USA,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.4017126438815
United States,USA,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.95748284598673
United States,USA,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.4862708568981
United States,USA,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.19654595125669
United States,USA,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.08481064648911
United States,USA,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.64462971522031
United States,USA,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.61807468702726
United States,USA,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.60969791123196
United States,USA,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.94036220081083
United States,USA,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.82047749005298
United States,USA,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.89299233059503
United States,USA,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.92035348560631
United States,USA,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.85642357442387
United States,USA,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.72008962598117
United States,USA,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.57608344233671
United States,USA,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.51526333738618
United States,USA,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.55182539157929
United States,USA,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.59165438073805
United States,USA,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.45285238793496
United States,USA,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.07066814615764
United States,USA,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.00138414700986
United States,USA,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.90194872935596
United States,USA,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.64345948396279
United States,USA,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.34463476315511
United States,USA,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.41845540917369
United States,USA,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.26028511534552
United States,USA,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.44010940881736
United States,USA,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.18455448977594
United States,USA,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.09802201863503
United States,USA,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.85693786933827
United States,USA,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.85507860821509
United States,USA,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.82060076106264
United States,USA,1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.80183963805079
United States,USA,1975,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.70638564571038
United States,USA,1974,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.74584644615766
United States,USA,1973,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.53476977302831
United States,USA,1972,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.37665251620267
United States,USA,1971,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.43550671760313
United States,USA,1970,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.43174574188277
United States,USA,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,15.477873392018
United States,USA,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,41.9807201181136
United States,USA,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,41.8515514292695
United States,USA,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,42.121706113356
United States,USA,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,42.6428681373997
United States,USA,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,42.8050914911198
United States,USA,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,43.0236365406228
United States,USA,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,43.9827521318879
United States,USA,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,41.7970687325774
United States,USA,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,42.1491043244235
United States,USA,2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,38.2322670545526
United States,USA,2007,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.8513016241113
United States,USA,2006,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.6049471373257
United States,USA,2005,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,35.4677764237923
United States,USA,2004,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,35.2049936060929
United States,USA,2003,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.4505967690663
